iter	Logloss
0	0.6755600467
1	0.6604774106
2	0.6461074668
3	0.6321904831
4	0.6200886754
5	0.6075201422
6	0.5970196641
7	0.5860117017
8	0.5766878235
9	0.5675748647
10	0.5593028636
11	0.5505126469
12	0.5431099339
13	0.5371529296
14	0.5301868604
15	0.5234550312
16	0.5172555842
17	0.5112891576
18	0.5053166908
19	0.5001551745
20	0.491297084
21	0.4872121223
22	0.4822289042
23	0.478481851
24	0.4746276396
25	0.4708218948
26	0.4678606749
27	0.4636882462
28	0.460906272
29	0.4582620532
30	0.4550806523
31	0.4516745287
32	0.4496673739
33	0.4451167461
34	0.4430519465
35	0.4410994314
36	0.4395066525
37	0.4378927291
38	0.434860191
39	0.4317854063
40	0.4286618547
41	0.4253795816
42	0.4231239279
43	0.4214979229
44	0.4190085295
45	0.4168169847
46	0.4145681108
47	0.4139123341
48	0.4115114494
49	0.4099379663
50	0.4087212615
51	0.4065721808
52	0.405743555
53	0.4045376847
54	0.4035465094
55	0.4018313161
56	0.3999311184
57	0.3979645553
58	0.3958195701
59	0.394400727
60	0.3932878558
61	0.3919702817
62	0.3907316939
63	0.3890521224
64	0.3880226156
65	0.3874524394
66	0.3861335642
67	0.3848701305
68	0.3836233539
69	0.382716316
70	0.3812722949
71	0.3806999646
72	0.3796050564
73	0.3788626966
74	0.3779813608
75	0.3773935992
76	0.3769204639
77	0.3766241263
78	0.3756601186
79	0.3748292283
80	0.3745589118
81	0.3739504033
82	0.3728838231
83	0.3718394636
84	0.3712798933
85	0.3706914509
86	0.3699173803
87	0.3687625061
88	0.3681813869
89	0.3673272682
90	0.3662856778
91	0.3653075367
92	0.364079187
93	0.3637832381
94	0.3635035195
95	0.3628253219
96	0.3624216168
97	0.3620928355
98	0.3614293413
99	0.3609918723
100	0.3606984334
101	0.360496102
102	0.3594139001
103	0.3587975475
104	0.3581281419
105	0.3579452274
106	0.3572960053
107	0.3565594319
108	0.3562407287
109	0.3559901785
110	0.3555521938
111	0.3550448323
112	0.3547470908
113	0.3544514946
114	0.3535580289
115	0.352944681
116	0.3528035146
117	0.3524774227
118	0.3520834566
119	0.3517980806
120	0.3516913258
121	0.3515711694
122	0.3512923215
123	0.3504095606
124	0.3500517743
125	0.3498228145
126	0.3493448621
127	0.3488526956
128	0.3485772645
129	0.3482462201
130	0.347977437
131	0.347793478
132	0.3472790159
133	0.3471286428
134	0.3469899413
135	0.3465603911
136	0.3463943331
137	0.3462525902
138	0.3460394788
139	0.3455923656
140	0.345385589
141	0.3451896978
142	0.3446012422
143	0.3445950725
144	0.3444566989
145	0.3442959353
146	0.3439271584
147	0.343268235
148	0.3428949825
149	0.3427470462
150	0.3424357713
151	0.3421288884
152	0.3420377698
153	0.3417446228
154	0.3415707004
155	0.3413789662
156	0.3409685566
157	0.3407698819
158	0.3406744842
159	0.3406132471
160	0.3405391402
161	0.3403382015
162	0.3401445922
163	0.3399688117
164	0.3395112788
165	0.3393237865
166	0.3389946525
167	0.3389379087
168	0.3387452173
169	0.3384498129
170	0.3382727926
171	0.3381810621
172	0.3380847064
173	0.3377760699
174	0.3376465859
175	0.3374050926
176	0.3372987506
177	0.3369769143
178	0.3368902114
179	0.3367746121
180	0.3367174755
181	0.3365506968
182	0.3364248446
183	0.3360928688
184	0.3359472374
185	0.3357665965
186	0.3354864659
187	0.335276567
188	0.3352082716
189	0.3350879974
190	0.3347164233
191	0.334647072
192	0.3343468668
193	0.334093703
194	0.333803216
195	0.3336444542
196	0.3334889214
197	0.3334704347
198	0.3331461793
199	0.3330937944
200	0.3327612511
201	0.3327056591
202	0.332628383
203	0.332459802
204	0.3320951643
205	0.3318705083
206	0.3316444407
207	0.3316011863
208	0.3315300657
209	0.3313765096
210	0.3311832706
211	0.3309802944
212	0.3308640702
213	0.33077851
214	0.3303650719
215	0.3302290612
216	0.3301555347
217	0.3300801861
218	0.3297563681
219	0.3296482392
220	0.3292952702
221	0.329210713
222	0.3289314401
223	0.3288027672
224	0.3286893239
225	0.3286456231
226	0.3285144101
227	0.3283358258
228	0.3280012284
229	0.3279633107
230	0.3277966397
231	0.3276367612
232	0.3274500071
233	0.3273451665
234	0.327119976
235	0.3270775549
236	0.3269371449
237	0.3268542902
238	0.3267004144
239	0.3266128902
240	0.3266068932
241	0.3262888181
242	0.3260582251
243	0.3259486993
244	0.3258809666
245	0.3258058608
246	0.3256684556
247	0.3255462597
248	0.3254911083
249	0.3254890002
250	0.3254518171
251	0.3253625004
252	0.3249787271
253	0.3249290365
254	0.324845514
255	0.3247556578
256	0.3245090546
257	0.3242767725
258	0.3241393804
259	0.3240766031
260	0.3238673476
261	0.3237222204
262	0.3235528407
263	0.323495707
264	0.3234006103
265	0.3231357807
266	0.3229942155
267	0.322903413
268	0.3228116427
269	0.3227208229
270	0.3225115289
271	0.3224818674
272	0.3224493021
273	0.3224130841
274	0.3221894252
275	0.3221340279
276	0.3218736707
277	0.3217853065
278	0.3215961056
279	0.3215379023
280	0.3214684508
281	0.3213074548
282	0.3212554085
283	0.3212297858
284	0.3211559923
285	0.3210800369
286	0.3209199595
287	0.3207914751
288	0.3207543503
289	0.3207207057
290	0.3206954746
291	0.3206954724
292	0.3205611049
293	0.3204576106
294	0.3203477836
295	0.3200296224
296	0.3199975197
297	0.3198552198
298	0.3197953391
299	0.3197621007
300	0.3197171123
301	0.319680633
302	0.3196275694
303	0.3195905668
304	0.3192922365
305	0.3192595785
306	0.3192208917
307	0.3190495767
308	0.3189849453
309	0.3189462014
310	0.3188800639
311	0.3188350475
312	0.318757401
313	0.3187230858
314	0.318677879
315	0.3182113525
316	0.3179941247
317	0.3178551582
318	0.3174961721
319	0.317225622
320	0.3171637521
321	0.3171102242
322	0.317082794
323	0.3169447857
324	0.3168952727
325	0.316821495
326	0.316679261
327	0.3165707056
328	0.3164764577
329	0.3163648402
330	0.3163311703
331	0.3158961437
332	0.3158457685
333	0.315772369
334	0.3152503381
335	0.3151333795
336	0.3150179271
337	0.3149665159
338	0.3149295121
339	0.3148581452
340	0.3147778827
341	0.3143008637
342	0.3141747172
343	0.3141159594
344	0.3137553412
345	0.3136956745
346	0.3134445921
347	0.3133495372
348	0.3132387715
349	0.3131900503
350	0.3131171212
351	0.3126726278
352	0.3125958462
353	0.3124918837
354	0.3124369501
355	0.3121811578
356	0.3118991306
357	0.3118613737
358	0.3114578876
359	0.3112160452
360	0.311069465
361	0.3109840819
362	0.310793938
363	0.3106186159
364	0.3104977908
365	0.3103339499
366	0.3102295911
367	0.3097144434
368	0.3094522773
369	0.3092496478
370	0.3090848011
371	0.3087334414
372	0.3086617997
373	0.3079917756
374	0.307848503
375	0.3076620964
376	0.3071500699
377	0.3071026054
378	0.3069196116
379	0.3068428395
380	0.3067710713
381	0.3064069387
382	0.3063225478
383	0.3062295802
384	0.3056745233
385	0.3051156589
386	0.3049200624
387	0.3046259763
388	0.3044411324
389	0.3041089117
390	0.3037549582
391	0.3032095742
392	0.3028412016
393	0.3027192509
394	0.3024211933
395	0.3021865421
396	0.3018473463
397	0.3014737002
398	0.3010395966
399	0.3008812069
400	0.3005415564
401	0.3004277859
402	0.3000074209
403	0.2998719879
404	0.2997852437
405	0.299434188
406	0.2993189389
407	0.2990662832
408	0.29857578
409	0.2983123071
410	0.2978419576
411	0.2977315668
412	0.2976006691
413	0.2974942369
414	0.2974024975
415	0.2970806179
416	0.2966693346
417	0.2964027036
418	0.2959989607
419	0.2957822143
420	0.295631578
421	0.2954974504
422	0.295345525
423	0.2951346038
424	0.2950221481
425	0.2949200353
426	0.2946992876
427	0.2944807411
428	0.2940343523
429	0.2938825993
430	0.2937421334
431	0.2936009241
432	0.2934756387
433	0.2933726215
434	0.2930103944
435	0.2928954453
436	0.2928189864
437	0.292444206
438	0.2923170957
439	0.2921258318
440	0.2920535282
441	0.2917921099
442	0.2915407674
443	0.2913177337
444	0.2912115686
445	0.2909063017
446	0.290796346
447	0.2905662715
448	0.2902278323
449	0.290020291
450	0.2899233136
451	0.2898307206
452	0.2895246812
453	0.2892244733
454	0.2891394781
455	0.2890533208
456	0.2889736596
457	0.2888138004
458	0.2885358557
459	0.2884139503
460	0.2882814381
461	0.288093304
462	0.2877470556
463	0.2876093919
464	0.2874022282
465	0.2871365026
466	0.2870516915
467	0.2869734469
468	0.2867024692
469	0.2863931671
470	0.2862767865
471	0.2861036361
472	0.2858279814
473	0.2856771925
474	0.2856157267
475	0.2855547268
476	0.2854123483
477	0.2853187609
478	0.2852435623
479	0.2851232357
480	0.2850192069
481	0.2848139174
482	0.2847327727
483	0.2846059183
484	0.2843743381
485	0.2842017754
486	0.2841429933
487	0.2840651217
488	0.2838670721
489	0.2836416813
490	0.2835266808
491	0.2834599213
492	0.2834096854
493	0.2833538709
494	0.2831422726
495	0.2830890415
496	0.2829963978
497	0.2829405456
498	0.2826847236
499	0.2826216309
500	0.2825067615
501	0.2822781311
502	0.2822364869
503	0.2820102713
504	0.2819686797
505	0.2817989369
506	0.281559479
507	0.2813604511
508	0.2812095183
509	0.2811420278
510	0.2810385267
511	0.2809385378
512	0.2808340253
513	0.2807764597
514	0.2806459122
515	0.2806011217
516	0.280473055
517	0.2804360506
518	0.2803636134
519	0.2802989555
520	0.2802272752
521	0.2801087343
522	0.2799703597
523	0.2798900674
524	0.2797169503
525	0.2796651877
526	0.2794817389
527	0.2794093968
528	0.2792774744
529	0.2792028852
530	0.2791131194
531	0.2789748183
532	0.2788501771
533	0.2787232917
534	0.2786366332
535	0.2785723386
536	0.2785252427
537	0.2784652036
538	0.2783234555
539	0.2782821141
540	0.2781705203
541	0.2781128519
542	0.2780648448
543	0.2780037491
544	0.2779258085
545	0.27777137
546	0.277718898
547	0.2776845792
548	0.2776059001
549	0.2775618742
550	0.2773800841
551	0.277338213
552	0.2771899281
553	0.2770520666
554	0.2770053642
555	0.2769179716
556	0.2767033695
557	0.2766716151
558	0.2766420319
559	0.2765858995
560	0.2764330329
561	0.2763179538
562	0.2762337301
563	0.2761808821
564	0.2760059469
565	0.2759344365
566	0.2758568828
567	0.2758086196
568	0.2757582385
569	0.2756751933
570	0.2755926165
571	0.2755516677
572	0.2755119575
573	0.2754610261
574	0.2753939327
575	0.2752816913
576	0.2752006015
577	0.2750820183
578	0.2750179668
579	0.2749435916
580	0.2747221772
581	0.2746743366
582	0.2746136069
583	0.2745762984
584	0.274493778
