iter	Passed	Remaining
0	76	76624
1	134	67146
2	187	62402
3	242	60479
4	297	59151
5	376	62339
6	429	60939
7	483	59951
8	535	58975
9	588	58304
10	644	57976
11	705	58111
12	758	57578
13	811	57153
14	864	56765
15	917	56437
16	970	56115
17	1023	55819
18	1075	55529
19	1129	55365
20	1185	55268
21	1244	55336
22	1297	55131
23	1350	54936
24	1404	54780
25	1459	54687
26	1517	54672
27	1572	54601
28	1628	54530
29	1681	54382
30	1735	54246
31	1791	54187
32	1845	54090
33	1925	54692
34	1978	54543
35	2030	54385
36	2084	54243
37	2138	54145
38	2193	54040
39	2248	53964
40	2304	53895
41	2362	53882
42	2416	53789
43	2474	53753
44	2534	53785
45	2589	53706
46	2642	53584
47	2694	53434
48	2750	53386
49	2802	53244
50	2854	53115
51	2907	53014
52	2963	52950
53	3016	52847
54	3070	52748
55	3125	52678
56	3177	52569
57	3229	52450
58	3284	52387
59	3338	52297
60	3393	52234
61	3446	52137
62	3499	52045
63	3558	52042
64	3611	51950
65	3663	51837
66	3745	52152
67	3798	52065
68	3852	51986
69	3905	51893
70	3960	51817
71	4015	51750
72	4068	51659
73	4126	51639
74	4179	51551
75	4231	51448
76	4285	51372
77	4338	51277
78	4391	51193
79	4444	51112
80	4496	51021
81	4567	51128
82	4621	51062
83	4680	51041
84	4743	51060
85	4797	50988
86	4849	50891
87	4903	50820
88	4956	50737
89	5011	50676
90	5064	50587
91	5117	50508
92	5170	50424
93	5225	50366
94	5278	50281
95	5334	50237
96	5387	50158
97	5441	50082
98	5493	49993
99	5571	50144
100	5624	50061
101	5676	49979
102	5729	49900
103	5781	49811
104	5836	49748
105	5892	49699
106	5946	49630
107	5999	49548
108	6050	49458
109	6101	49368
110	6153	49282
111	6209	49233
112	6262	49157
113	6315	49085
114	6370	49025
115	6423	48953
116	6481	48913
117	6536	48857
118	6590	48794
119	6646	48739
120	6699	48666
121	6751	48591
122	6803	48512
123	6858	48450
124	6911	48383
125	6964	48309
126	7017	48240
127	7072	48179
128	7125	48108
129	7178	48042
130	7229	47960
131	7284	47903
132	7363	47999
133	7417	47934
134	7468	47854
135	7521	47782
136	7572	47701
137	7625	47629
138	7682	47584
139	7736	47524
140	7788	47450
141	7840	47377
142	7894	47313
143	7945	47233
144	7996	47151
145	8049	47082
146	8102	47016
147	8156	46954
148	8209	46890
149	8262	46820
150	8316	46757
151	8368	46686
152	8421	46620
153	8473	46551
154	8525	46477
155	8579	46418
156	8633	46359
157	8685	46288
158	8738	46222
159	8791	46154
160	8848	46111
161	8901	46044
162	8954	45978
163	9009	45928
164	9063	45867
165	9140	45922
166	9196	45873
167	9249	45807
168	9302	45740
169	9355	45678
170	9413	45634
171	9465	45567
172	9517	45495
173	9570	45431
174	9623	45365
175	9677	45306
176	9730	45245
177	9785	45188
178	9837	45119
179	9889	45054
180	9943	44991
181	9995	44926
182	10048	44862
183	10102	44800
184	10155	44738
185	10207	44671
186	10258	44600
187	10311	44536
188	10361	44461
189	10414	44397
190	10467	44336
191	10521	44276
192	10575	44219
193	10629	44159
194	10681	44095
195	10735	44038
196	10787	43969
197	10839	43905
198	10916	43941
199	10969	43877
200	11024	43825
201	11077	43759
202	11129	43697
203	11182	43634
204	11236	43575
205	11289	43513
206	11343	43454
207	11393	43382
208	11447	43324
209	11499	43260
210	11551	43195
211	11603	43129
212	11656	43068
213	11710	43011
214	11767	42963
215	11824	42918
216	11882	42876
217	11940	42832
218	11999	42791
219	12051	42728
220	12113	42699
